player_id,last_season,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,foot,height_in_cm,market_value,Highest_value
254016,2013,Arthur Delalande,France,France,18/05/1992,Midfield,Right,186,,90000
51053,2013,Daniel Davari,Germany,Iran,06/01/1988,Goalkeeper,Right,192,135000,1130000
31451,2013,Torsten Oehrl,Germany,Germany,07/01/1986,Attack,Right,192,,1130000
44622,2013,Vladimir Kisenkov,UdSSR,Russia,08/10/1981,Defender,Right,182,,720000
30802,2013,Oscar Diaz,Spain,Spain,24/04/1984,Attack,Right,183,,1080000
214776,2013,Paul Mccallum,England,England,28/07/1993,Attack,Right,191,,135000
117549,2013,Rodri Rios,Spain,Spain,06/06/1990,Attack,Right,174,270000,1800000
186796,2013,Hicham Khaloua,Spain,Morocco,07/05/1995,Attack,Right,174,360000,360000
273812,2013,Francis Kone,Cote d'Ivoire,Togo,22/11/1990,Attack,Right,189,68000,225000
243827,2013,Olavale Fabunmi,Ukraine,Ukraine,18/01/1992,Midfield,Right,187,,
220795,2013,Guyon Philips,Netherlands,Netherlands,15/10/1993,Attack,Both,193,23000,180000
9796,2013,Oleksandr Aliyev,UdSSR,Ukraine,03/02/1985,Attack,Both,173,,9000000
273548,2013,Maurice De Ruiter,Netherlands,Netherlands,14/08/1991,Attack,Left,186,,45000
235349,2013,Artem Simonyan,Russia,Armenia,20/02/1995,Attack,Both,178,270000,675000
90255,2013,Frantisek Kubik,CSSR,Slovakia,14/03/1989,Attack,Left,181,23000,720000
217026,2013,Pavel Kireenko,Russia,Russia,14/06/1994,Attack,Left,175,248000,450000
255431,2013,Ilya Belous,Russia,Russia,01/01/1995,Attack,Right,187,203000,360000
88609,2013,Artem Danilenko,UdSSR,Russia,22/03/1990,Attack,Right,182,,270000
130196,2013,Yevgen Kolesnyk,UdSSR,Ukraine,13/01/1990,Midfield,Right,178,,68000
15379,2013,Dmitri Bulykin,UdSSR,Russia,20/11/1979,Attack,,0,,3600000
15117,2013,Konstantin Zyryanov,UdSSR,Russia,05/10/1977,Midfield,Right,176,,7920000
232598,2013,Mulumba Mukendi,Zaire,DR Congo,27/05/1985,Attack,Right,193,,540000
121327,2013,Matthew Fletcher,Australia,Australia,01/06/1992,Attack,Both,181,,135000
96898,2013,Alan Gatagov,UdSSR,Russia,23/01/1991,Midfield,Left,181,,1800000
104941,2013,Gedo,Egypt,Egypt,30/10/1984,Attack,Right,184,,1800000
73566,2013,Cameron Stewart,England,England,08/04/1991,Attack,Right,172,,675000
45631,2013,Aaron Mclean,England,England,25/05/1983,Attack,Right,171,,1130000
14013,2013,Matty Fryatt,England,England,05/03/1986,Attack,Right,178,,3150000
6107,2013,Abdoulaye Faye,Senegal,Senegal,26/02/1978,Defender,Left,187,,3600000
3989,2013,Dmitri Sychev,UdSSR,Russia,26/10/1983,Attack,Right,176,,9000000
260731,2013,Evgeniy Kozlov,Russia,Russia,04/02/1995,Attack,Left,178,315000,315000
38768,2013,Luton Shelton,Jamaica,Jamaica,11/11/1985,Attack,Left,183,,2430000
282785,2013,Sergey Garanzha,Russia,Russia,14/01/1995,Attack,Right,179,158000,180000
98122,2013,Matija Dvornekovic,Jugoslawien (SFR),Croatia,01/01/1989,Attack,Right,177,45000,225000
48534,2013,Aleksandr Shulenin,UdSSR,Russia,31/10/1979,Attack,Both,178,,405000
146476,2013,Artur Minosyan,UdSSR,Russia,04/08/1989,Attack,Both,178,,225000
297034,2013,Ilya Petrov,Russia,Russia,27/06/1995,Midfield,Left,177,450000,540000
260673,2013,Roman Kuzovkin,Russia,Russia,19/10/1994,Midfield,Right,176,,45000
297032,2013,Nikita Nikolaev,Russia,Russia,24/02/1996,Defender,Left,173,,90000
44432,2013,Adrian Ropotan,Romania,Romania,08/05/1986,Midfield,Right,183,,2700000
297031,2013,Evgeniy Degtyarev,Russia,Russia,07/02/1993,Midfield,Both,172,180000,203000
207525,2013,Dmitri Mikhaylenko,Russia,Russia,06/01/1995,Midfield,Left,172,,68000
15907,2013,Andrey Karyaka,UdSSR,Russia,01/04/1978,Attack,Right,180,,2700000
26683,2013,Mihaita Plesan,Romania,Romania,19/02/1983,Midfield,Right,185,,1580000
42621,2013,Vitalie Bordian,UdSSR,Moldova,11/08/1984,Defender,Both,178,,1800000
85563,2013,Dominic Adiyiah,Ghana,Ghana,29/11/1989,Attack,Right,172,135000,900000
29745,2013,Piotr Polczak,Poland,Poland,25/09/1986,Defender,Right,192,,540000
15730,2013,Evgeni Aldonin,UdSSR,Russia,22/01/1980,Midfield,Right,179,,3600000
53719,2013,Ariel Borysiuk,Poland,Poland,29/07/1991,Midfield,Right,180,248000,2250000
